,precision,recall,f1-score,support
0,0.9908970213067773,0.9841978504849838,0.9875360746974032,454242.0
1,0.2035064358632934,0.30870223868035684,0.24530194609777303,5941.0
accuracy,0.9754771471349442,0.9754771471349442,0.9754771471349442,0.9754771471349442
macro avg,0.5972017285850353,0.6464500445826703,0.6164190103975882,460183.0
weighted avg,0.9807317447361092,0.9754771471349442,0.9779537716614144,460183.0
