,precision,recall,f1-score,support
0,0.9495881282201586,0.9859691834577313,0.9674367436743674,31217.0
1,0.9000912408759124,0.707168458781362,0.7920513849859494,5580.0
accuracy,0.9436910617713401,0.9436910617713401,0.9436910617713401,0.9436910617713401
macro avg,0.9248396845480356,0.8465688211195467,0.8797440643301584,36797.0
weighted avg,0.9420822817821094,0.9436910617713401,0.9408408173357699,36797.0
