fold,AUROC,F1,F2,Recall,Precision,is_best
0,1.0,1.0,1.0,1.0,1.0,True
1,1.0,1.0,1.0,1.0,1.0,False
2,1.0,1.0,1.0,1.0,1.0,False
mean,1.0,1.0,1.0,1.0,1.0,
