,precision,recall,f1-score,support
0,0.9909849045794307,0.6014439509542148,0.7485695505643207,304858.0
1,0.03121561498349519,0.7012358946802795,0.05977053610277784,5583.0
accuracy,0.6032386186102996,0.6032386186102996,0.6032386186102996,0.6032386186102996
macro avg,0.5111002597814629,0.6513399228172472,0.4041700433335493,310441.0
weighted avg,0.9737243238448817,0.6032386186102996,0.7361821246194913,310441.0
