,precision,recall,f1-score,support
0,0.9919477206096278,0.9757618185900907,0.9837881989452563,454242.0
1,0.1754661873736239,0.39437805083319305,0.24287343215507412,5941.0
accuracy,0.9682561068096822,0.9682561068096822,0.9682561068096822,0.9682561068096822
macro avg,0.5837069539916259,0.6850699347116419,0.6133308155501652,460183.0
weighted avg,0.9814068775342532,0.9682561068096822,0.9742229289776555,460183.0
