fold,AUROC,F1,F2,Recall,Precision,is_best
0,0.9428763619801702,0.8268229166666666,0.8178773827923751,0.8120204603580563,0.8421750663129973,True
1,0.9322355801588371,0.7882653061224489,0.7894736842105263,0.7902813299232737,0.7862595419847328,False
2,0.9383634341936788,0.8025157232704403,0.8110856852275616,0.8169014084507042,0.788627935723115,False
mean,0.9378251254442288,0.8058679820198519,0.806145584076821,0.8064010662440113,0.805687514673615,
