,precision,recall,f1-score,support
0,0.9653631751466689,0.8940061871616396,0.9283154481664776,51720.0
1,0.436124254268669,0.7187658925241567,0.5428589718968055,5899.0
accuracy,0.8760651868307329,0.8760651868307329,0.8760651868307329,0.8760651868307329
macro avg,0.7007437147076689,0.8063860398428981,0.7355872100316416,57619.0
weighted avg,0.9111799995577257,0.8760651868307329,0.8888526363593515,57619.0
