,precision,recall,f1-score,support
0,0.9260185847033595,0.9470029239766082,0.936393205637875,2736.0
1,0.7668810289389068,0.6973684210526315,0.7304747320061256,684.0
accuracy,0.8970760233918129,0.8970760233918129,0.8970760233918129,0.8970760233918129
macro avg,0.8464498068211331,0.8221856725146199,0.8334339688220003,3420.0
weighted avg,0.894191073550469,0.8970760233918129,0.895209510911525,3420.0
