fold,AUROC,F1,F2,Recall,Precision,is_best
0,0.9406229198052062,0.8197146562905318,0.8127572016460906,0.8081841432225064,0.8315789473684211,False
1,0.9297593608381568,0.7822736030828517,0.7801691006917756,0.7787723785166241,0.7858064516129032,False
2,0.937488768335692,0.8022457891453525,0.814749113025849,0.8233034571062741,0.7822384428223844,True
mean,0.9359570163263516,0.8014113495062453,0.8025584717879051,0.8034199929484682,0.7998746139345695,
