,precision,recall,f1-score,support
0,1.0,1.0,1.0,106907.0
1,1.0,1.0,1.0,7433.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,114340.0
weighted avg,1.0,1.0,1.0,114340.0
