,precision,recall,f1-score,support
0,0.9014309665847857,0.944461466184611,0.922444663893627,48957.0
1,0.17830160169235418,0.1044987601842012,0.13176996091568957,5646.0
accuracy,0.8576085563064301,0.8576085563064301,0.8576085563064301,0.8576085563064301
macro avg,0.53986628413857,0.5244801131844061,0.5271073124046582,54603.0
weighted avg,0.8266587307335932,0.8576085563064301,0.8406881784804916,54603.0
