fold,AUROC,F1,F2,Recall,Precision
1,0.9696053765991794,0.8586433260393873,0.822986577181208,0.8008163265306123,0.9254716981132075
2,0.9669551392525634,0.856,0.8130699088145896,0.7867647058823529,0.9385964912280702
3,0.9702274887412965,0.8490819525302284,0.8023019634394042,0.7738775510204081,0.9404761904761905
mean,0.9689293348643465,0.8545750928565385,,0.7871528611444578,0.9348481266058227
