threshold,precision,recall,f1
0.4350948631763458,0.017984093595884564,1.0,0.035332759190164764
0.45324262976646423,0.01798739625753905,1.0,0.03533913316996074
0.4537595808506012,0.017984348268740676,0.999820884828945,0.035333138871241676
0.45442745089530945,0.017984464155113587,0.999820884828945,0.035333362525598065
0.45486369729042053,0.017984580042979988,0.999820884828945,0.035333586182785884
0.4557364583015442,0.017984753877579952,0.999820884828945,0.03533392167387666
0.45585834980010986,0.01798498566227406,0.999820884828945,0.03533436900524151
0.45652416348457336,0.017985217452942653,0.999820884828945,0.03533481634793304
0.45859962701797485,0.017985275401543346,0.999820884828945,0.03533492818537577
0.4600261449813843,0.017985333350517458,0.999820884828945,0.03533504002352645
0.4606427848339081,0.01798216926631074,0.99964176965789,0.03532882166671873
0.46128058433532715,0.017982227205650177,0.99964176965789,0.03532893348624958
0.4622160792350769,0.017982343085449156,0.99964176965789,0.035329157127434806
0.46221724152565,0.017982401025908704,0.99964176965789,0.0353292689490892
0.4625449478626251,0.017982458966741634,0.99964176965789,0.03532938077145147
0.4633593261241913,0.01797929481210348,0.999462654486835,0.03532316227863883
0.4634677767753601,0.01797964240488995,0.999462654486835,0.03532383311170432
0.4638575613498688,0.017979700338327693,0.999462654486835,0.03532394491969246
0.4642951488494873,0.017979758272138786,0.999462654486835,0.0353240567283884
0.46470797061920166,0.017976731444777468,0.9991044241447251,0.0353179913772737
0.46496281027793884,0.01797696318880001,0.9991044241447251,0.035318438625865776
0.4663633406162262,0.01797702112573924,0.9991044241447251,0.03531855043978372
0.4665420949459076,0.017977079063051914,0.9991044241447251,0.03531866225440964
0.4671904444694519,0.01797760051567158,0.9991044241447251,0.03531966861790319
0.4675016403198242,0.017977716398139703,0.9991044241447251,0.03531989226202346
0.4678862988948822,0.017977774339933993,0.9991044241447251,0.03532000408514566
0.4680895209312439,0.017977832282101775,0.9991044241447251,0.03532011590897595
0.4683692753314972,0.017977890224643054,0.9991044241447251,0.03532022773351432
0.46848487854003906,0.017978121998543185,0.9991044241447251,0.03532067503874865
0.46888741850852966,0.017978411724322425,0.9991044241447251,0.035321234186224064
0.4689978361129761,0.01797846967059885,0.9991044241447251,0.03532134601784354
0.4692232012748718,0.017978527617248816,0.9991044241447251,0.035321457850171184
0.46930167078971863,0.01797864351166936,0.9991044241447251,0.03532168151695092
0.46955782175064087,0.017978701459439948,0.9991044241447251,0.03532179335140304
0.46955880522727966,0.017975536252437512,0.99892530897367,0.0353155728263027
0.46970120072364807,0.01797559419056644,0.99892530897367,0.035315684642121724
0.4706653952598572,0.017975652129068858,0.99892530897367,0.0353157964586488
0.47085320949554443,0.017975710067944767,0.99892530897367,0.035315908275883955
0.4708946645259857,0.01797254481049215,0.9987461938026151,0.03530968765336796
0.47127392888069153,0.017972602739726028,0.9987461938026151,0.035309799451969305
0.4718701243400574,0.017972660669333344,0.9987461938026151,0.035309911251278615
0.472000390291214,0.017972718599314097,0.9987461938026151,0.0353100230512959
0.47214916348457336,0.017969553291409746,0.9985670786315601,0.0353038023313613
0.47235557436943054,0.017969611211748098,0.9985670786315601,0.035303914112744084
0.4725838899612427,0.01796972705354495,0.9985670786315601,0.03530413767763319
0.4727904796600342,0.017969784975003466,0.9985670786315601,0.03530424946113957
0.4738272428512573,0.017966619606629663,0.9983879634605051,0.03529802862444034
0.47385191917419434,0.01796667751844534,0.9983879634605051,0.03529814038931139
0.47417232394218445,0.01796673543063435,0.9983879634605051,0.03529825215489019
0.47437208890914917,0.017963570021821886,0.9982088482894501,0.03529203124010959
0.4747343361377716,0.017963627924367745,0.9982088482894501,0.03529214298705247
0.47499072551727295,0.01796368582728688,0.9982088482894501,0.03529225473470301
0.47525644302368164,0.0179637437305793,0.9982088482894501,0.03529236648306121
0.4753149747848511,0.01796380163424501,0.9982088482894501,0.0352924782321271
0.4757890999317169,0.017964264877009417,0.9982088482894501,0.0352933722501313
0.4758768081665039,0.017964322784034866,0.9982088482894501,0.035293484005566575
0.47616681456565857,0.017964438599205736,0.9982088482894501,0.03529370751856034
0.4762083888053894,0.017964496507351164,0.9982088482894501,0.035293819276118854
0.4763052463531494,0.017964554415869926,0.9982088482894501,0.035293931034385134
0.4763611853122711,0.01796138881635995,0.9980297331183952,0.035287709751345785
0.4765631854534149,0.017961562514102986,0.9980297331183952,0.03528804497235292
0.4767192304134369,0.017962894308418898,0.9980297331183952,0.035290615211680885
0.4768340587615967,0.017962952216999683,0.9980297331183952,0.035290726969710175
0.4769945740699768,0.017963010125953843,0.9980297331183952,0.035290838728447314
0.47704851627349854,0.017963068035281374,0.9980297331183952,0.035290950487892284
0.4774206280708313,0.017963125944982287,0.9980297331183952,0.035291062248045096
0.4775252640247345,0.017963183855056578,0.9980297331183952,0.03529117400890575
0.47782859206199646,0.017963299676325324,0.9980297331183952,0.035291397532750665
0.4779341220855713,0.017963357587519786,0.9980297331183952,0.03529150929573492
0.4780747890472412,0.017963415499087643,0.9980297331183952,0.035291621059427056
0.4784240424633026,0.017963473411028903,0.9980297331183952,0.035291732823827075
0.47899091243743896,0.017963531323343565,0.9980297331183952,0.035291844588934994
0.47913119196891785,0.017963589236031634,0.9980297331183952,0.035291956354750804
0.47913458943367004,0.017963705062528007,0.9980297331183952,0.03529217988850614
0.4791349172592163,0.017963762976336322,0.9980297331183952,0.03529229165644569
0.4791581928730011,0.017963820890518057,0.9980297331183952,0.03529240342509316
0.47924551367759705,0.017963878805073216,0.9980297331183952,0.035292515194448565
0.47984248399734497,0.017963936720001804,0.9980297331183952,0.0352926269645119
