,precision,recall,f1-score,support
0,1.0,1.0,1.0,31217.0
1,1.0,1.0,1.0,5580.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,36797.0
weighted avg,1.0,1.0,1.0,36797.0
