fold,AUROC,F1,F2,Recall,Precision,is_best
0,0.9506372840976771,0.824516129032258,0.8200718685831622,0.8171355498721228,0.83203125,True
1,0.9385670458114594,0.8111888111888111,0.8139831589691248,0.8158567774936062,0.8065739570164349,False
2,0.9474800357166926,0.8148148148148148,0.8160654898951138,0.8169014084507042,0.8127388535031848,False
mean,0.9455614552086097,0.8168399183452947,0.8167068391491336,0.8166312452721444,0.8171146868398731,
