,precision,recall,f1-score,support
0,0.9913906652243736,0.9825885761334266,0.9869699961634185,454242.0
1,0.20703829957890516,0.34758458172024914,0.25950361294376373,5941.0
accuracy,0.9743906228609054,0.9743906228609054,0.9743906228609054,0.9743906228609054
macro avg,0.5992144824016393,0.6650865789268379,0.6232368045535911,460183.0
weighted avg,0.9812646123186823,0.9743906228609054,0.9775783459227362,460183.0
