,precision,recall,f1-score,support
0,0.9159986057859881,0.9605263157894737,0.9377341659232827,2736.0
1,0.8039927404718693,0.6476608187134503,0.7174089068825911,684.0
accuracy,0.8979532163742691,0.8979532163742691,0.8979532163742691,0.8979532163742691
macro avg,0.8599956731289287,0.804093567251462,0.8275715364029369,3420.0
weighted avg,0.8935974327231644,0.8979532163742691,0.8936691141151445,3420.0
