Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,HR,93.0,0-1,0-2,0-2,1905.69763,11987.5723,
0,1,0-1,HospAdmTime,-1.5,0-3,0-4,0-4,1088.87305,7596.74072,
0,2,0-2,HospAdmTime,-2.0999999,0-5,0-6,0-6,470.973755,4390.83203,
0,3,0-3,DBP,50.2776718,0-7,0-8,0-8,729.733398,4649.79736,
0,4,0-4,DBP,49.3962173,0-9,0-10,0-10,215.30069,2946.94287,
0,5,0-5,HospAdmTime,-40.6399994,0-11,0-12,0-12,485.526611,2637.22241,
0,6,0-6,HR,112.0,0-13,0-14,0-14,107.617554,1753.60962,
0,7,0-7,SBP,123.5,0-15,0-16,0-16,70.6029816,701.587463,
0,8,0-8,HospAdmTime,-34.9500008,0-17,0-18,0-18,554.029297,3948.21021,
0,9,0-9,DBP,35.0,0-19,0-20,0-20,32.2327271,258.948547,
0,10,0-10,O2Sat,99.5,0-21,0-22,0-22,169.811508,2687.99438,
0,11,0-11,MAP,78.3300018,0-23,0-24,0-24,130.22522,1412.92163,
0,12,0-12,SBP,103.0,0-25,0-26,0-26,200.433182,1224.30066,
0,13,0-13,O2Sat,99.1999969,0-27,0-28,0-28,42.8196411,1210.86523,
0,14,0-14,O2Sat,81.5,0-29,0-30,0-30,40.8110962,542.744324,
0,15,0-15,Leaf,,,,,0.0488495789,579.878296,
0,16,0-16,Leaf,,,,,-0.0347013138,121.709152,
0,17,0-17,Leaf,,,,,-0.0323551334,1662.4021,
0,18,0-18,Leaf,,,,,-0.108246244,2285.80811,
0,19,0-19,Leaf,,,,,-0.157894745,3.75,
0,20,0-20,Leaf,,,,,0.109445237,255.198547,
0,21,0-21,Leaf,,,,,-0.00399950705,2074.98535,
0,22,0-22,Leaf,,,,,0.0558653139,613.009033,
0,23,0-23,Leaf,,,,,0.0952545851,743.662659,
0,24,0-24,Leaf,,,,,0.0343923829,669.259033,
0,25,0-25,Leaf,,,,,0.0524543524,293.146271,
0,26,0-26,Leaf,,,,,-0.0422345363,931.15448,
0,27,0-27,Leaf,,,,,0.0660041571,919.924072,
0,28,0-28,Leaf,,,,,0.110255897,290.941193,
0,29,0-29,Leaf,,,,,-0.160000011,4.0,
0,30,0-30,Leaf,,,,,0.132931218,538.744324,
