fold,AUROC,F1,F2,Recall,Precision,is_best
0,0.9456423623602672,0.7896103896103897,0.7822954194544519,0.7774936061381074,0.8021108179419525,True
1,0.9434543860911427,0.7849252761533463,0.7773487773487774,0.7723785166240409,0.797886393659181,False
2,0.947457296450101,0.7813712807244502,0.7765492414502443,0.7733674775928298,0.7895424836601307,False
mean,0.9455180149671704,0.785302315496062,0.7787311460844912,0.7744132001183259,0.7965132317537548,
