,precision,recall,f1-score,support
0,0.9906860317011039,0.9862848437616953,0.9884805387074639,454242.0
1,0.21723834652594548,0.2910284463894967,0.24877697841726618,5941.0
accuracy,0.9773090270609736,0.9773090270609736,0.9773090270609736,0.9773090270609736
macro avg,0.6039621891135247,0.638656645075596,0.618628758562365,460183.0
weighted avg,0.9807007591081884,0.9773090270609736,0.9789309055143993,460183.0
