,precision,recall,f1-score
0,0.9909154542487589,0.6055327909182874,0.7517084282460137
1,0.03134011450885881,0.6968763433156613,0.05998267180962424
accuracy,0.607175575469814,0.607175575469814,0.607175575469814
macro avg,0.5111277843788089,0.6512045671169744,0.40584555002781897
weighted avg,0.9736577989159244,0.6071755754698139,0.7392679619323845
