fold,AUROC,F1,F2,Recall,Precision,is_best
1,0.9145348085351273,0.49394890183774093,0.41168559473998806,0.3705447209145931,0.7405913978494624,False
2,0.9211841439458432,0.4949712643678161,0.4120690170748482,0.37067921990585073,0.7446636044312348,True
3,0.9189490840762045,0.4838074789765611,0.40378699638622584,0.3636852723604573,0.7224151749933209,False
mean,0.9182226788523916,0.490909215060706,0.40918053606702065,0.36830307106030036,0.7358900590913393,
