,precision,recall,f1-score,support
0,0.9428140365546639,0.9790846712159395,0.9606070988711813,105951.0
1,0.34496009459060006,0.1564552889127229,0.21527393469839512,7459.0
accuracy,0.9249801604796755,0.9249801604796755,0.9249801604796755,0.9249801604796755
macro avg,0.643887065572632,0.5677699800643312,0.5879405167847882,113410.0
weighted avg,0.9034930546914247,0.9249801604796755,0.9115863769633706,113410.0
