feature,value,shap_value
HR_min_6h_8,89.0,0.0014831552
HR_mean_6h_1,102.10849056603773,0.0
HR_mean_6h_2,99.55424528301887,0.0066814115
HR_mean_6h_3,96.03616352201259,-0.00057363603
HR_mean_6h_4,94.52712264150944,-0.0032464536
HR_mean_6h_5,96.22169811320755,0.028022444
HR_mean_6h_7,99.5,-0.03299332
HR_mean_6h_8,101.0,-0.03612832
HR_median_6h_1,102.10849056603773,0.0
HR_median_6h_2,99.55424528301887,0.0
HR_median_6h_3,97.0,0.022758812
HR_median_6h_4,93.5,-0.01596621
HR_median_6h_5,97.0,0.04994148
HR_median_6h_7,100.0,0.07037041
HR_median_6h_8,104.5,-0.2855952
HR_std_6h_1,3.6122483208727885,-0.2018303
HR_std_6h_2,3.6122483208727885,0.041276798
HR_std_6h_3,6.607182969859358,-0.02367261
HR_std_6h_4,6.181590575861943,-0.0645516
HR_std_6h_5,6.558732856436012,0.09580913
HR_std_6h_7,8.961026726887939,0.21501778
HR_std_6h_8,9.208691546577066,0.12617652
HR_diff_std_6h_1,2.0446059286195966,-0.030372702
HR_diff_std_6h_2,2.0446059286195966,0.0
HR_diff_std_6h_3,2.0446059286195966,-0.20440803
HR_diff_std_6h_4,4.594824693827915,0.12121068
HR_diff_std_6h_5,9.307666707175427,-0.054770842
HR_diff_std_6h_7,7.839792029064106,-0.19222647
HR_diff_std_6h_8,7.449832212875671,-0.13283858
O2Sat_max_6h_1,91.41981132075472,-0.52316916
O2Sat_max_6h_2,95.0,-0.045058012
O2Sat_max_6h_3,99.0,0.07440711
O2Sat_max_6h_4,99.0,-0.01364663
O2Sat_max_6h_5,99.0,-0.0010726753
O2Sat_max_6h_7,99.0,0.0009755241
O2Sat_max_6h_8,99.0,0.0026325765
O2Sat_min_6h_1,91.41981132075472,0.0
O2Sat_min_6h_2,91.41981132075472,0.11177917
O2Sat_min_6h_3,91.41981132075472,-0.00069078896
O2Sat_min_6h_4,91.41981132075472,-0.048231147
O2Sat_min_6h_5,88.5,0.07281119
O2Sat_min_6h_7,88.5,0.048597116
O2Sat_min_6h_8,88.5,-0.14579949
O2Sat_mean_6h_1,91.41981132075472,0.0
O2Sat_mean_6h_2,93.20990566037736,-0.004046547
O2Sat_mean_6h_3,95.13993710691824,-0.0029334237
O2Sat_mean_6h_4,95.10495283018868,-0.03100153
O2Sat_mean_6h_5,93.78396226415094,-0.1078526
O2Sat_mean_6h_7,93.41666666666667,-0.02947783
O2Sat_mean_6h_8,92.66666666666667,-0.17767504
O2Sat_median_6h_1,91.41981132075472,0.0
O2Sat_median_6h_2,93.20990566037736,0.0
O2Sat_median_6h_3,95.0,-0.14005084
O2Sat_median_6h_4,95.0,-0.009263526
O2Sat_median_6h_5,95.0,0.0213539
O2Sat_median_6h_7,93.5,-0.06447312
O2Sat_median_6h_8,91.5,-0.04941969
O2Sat_std_6h_1,2.531575693021648,0.1231892
O2Sat_std_6h_2,2.531575693021648,-0.07372719
O2Sat_std_6h_3,3.7920313683643316,0.09322701
O2Sat_std_6h_4,3.096971132829495,-0.041902453
O2Sat_std_6h_5,3.989799872924442,0.08888628
O2Sat_std_6h_7,3.693462693282101,0.20322137
O2Sat_std_6h_8,3.763863263545407,-0.32066172
O2Sat_diff_std_6h_1,0.2968514317245419,-0.18523169
O2Sat_diff_std_6h_2,0.2968514317245419,0.0
O2Sat_diff_std_6h_3,0.2968514317245419,-0.1560269
O2Sat_diff_std_6h_4,4.502508596290002,-0.085341856
O2Sat_diff_std_6h_5,5.3209155365655585,-0.17468055
O2Sat_diff_std_6h_7,4.341926941541248,0.16663992
O2Sat_diff_std_6h_8,4.009364039345891,-0.1463261
SBP_max_6h_1,128.16509433962264,-0.07136443
SBP_max_6h_2,128.16509433962264,-0.009526102
SBP_max_6h_3,128.16509433962264,0.008284495
SBP_max_6h_4,128.16509433962264,0.00034518808
SBP_max_6h_5,128.16509433962264,-0.021611067
SBP_max_6h_7,123.0,-0.015602412
SBP_max_6h_8,123.0,-0.025923993
SBP_min_6h_1,128.16509433962264,0.0
SBP_min_6h_2,98.0,-0.04204608
SBP_min_6h_3,98.0,-0.05654492
SBP_min_6h_4,98.0,0.045199618
SBP_min_6h_5,98.0,-0.044493202
SBP_min_6h_7,98.0,-0.023969365
SBP_min_6h_8,93.0,-0.07079409
SBP_mean_6h_1,128.16509433962264,0.0
SBP_mean_6h_2,113.08254716981132,0.0096707335
SBP_mean_6h_3,116.0550314465409,-0.08581482
SBP_mean_6h_4,117.54127358490567,-0.0017495477
SBP_mean_6h_5,118.43301886792453,-0.037460037
SBP_mean_6h_7,118.25,0.0026345816
SBP_mean_6h_8,117.41666666666667,-0.122591086
SBP_median_6h_1,128.16509433962264,0.0
SBP_median_6h_2,113.08254716981132,0.0
SBP_median_6h_3,122.0,0.07286482
SBP_median_6h_4,122.0,-0.035310585
SBP_median_6h_5,122.0,0.05200073
SBP_median_6h_7,122.0,-0.039385
SBP_median_6h_8,122.0,-0.053935938
SBP_std_6h_1,21.32994276267911,0.024561455
SBP_std_6h_2,21.32994276267911,-0.064572096
SBP_std_6h_3,15.937070541846667,-0.075149655
SBP_std_6h_4,13.347751661332419,0.06133279
SBP_std_6h_5,11.730213299782053,0.02668375
